ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
187,25-12-2016,20,Hidden Figures,20th Century Fox,Drama,167620331,18686770
188,13-07-2018,18,Hotel Transylvania 3: Summe…,Sony Pictures,Adventure,167500092,18386398
189,21-12-2016,15,Sing,Universal,Musical,166497820,19248302
190,03-10-2014,17,Gone Girl,20th Century Fox,Thriller/Suspense,166197583,20342421
191,13-02-2015,17,Fifty Shades of Grey,Universal,Drama,166167230,19711415
192,26-05-2011,13,Kung Fu Panda 2,Paramount Pictures,Adventure,165249063,20838469
193,05-11-2021,6,Eternals,Walt Disney,Action,164694432,16194143
194,01-04-2010,13,Clash of the Titans,Warner Bros.,Action,163214888,20686298
195,06-02-2015,18,The SpongeBob Movie: Sponge…,Paramount Pictures,Adventure,162994032,19334997
196,29-07-2016,16,Jason Bourne,Universal,Action,162192920,18750626
197,25-06-2010,14,Grown Ups,Sony Pictures,Comedy,162001186,20532470
198,13-07-2012,14,Ice Age: Continental Drift,20th Century Fox,Adventure,161204082,20251769
199,14-08-2015,19,Straight Outta Compton,Universal,Drama,161197785,19121920
200,22-02-2019,15,How to Train Your Dragon: T…,Universal,Adventure,160799505,17554531
201,08-10-2021,7,No Time to Die,United Artists,Action,160772007,15808456
202,28-05-2021,8,A Quiet Place: Part II,Paramount Pictures,Horror,160215764,15753762
203,17-11-2023,14,The Hunger Games: The Balla…,Lionsgate,Action,159719625,14816291
204,28-06-2013,15,The Heat,20th Century Fox,Comedy,159581587,19628731
205,19-10-2018,19,Halloween,Universal,Horror,159341510,17490835
206,07-06-2019,16,The Secret Life of Pets 2,Universal,Adventure,158874395,17344366
207,22-07-2016,17,Star Trek Beyond,Paramount Pictures,Adventure,158848340,18363969
208,25-12-2019,2,1917,Universal,Thriller/Suspense,157901466,17200595
209,09-06-2023,15,Transformers: Rise of the B…,Paramount Pictures,Action,157341749,14595710
210,16-11-2018,20,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,Adventure,156781859,17209864
211,03-03-2023,16,Creed III,MGM,Drama,156248615,14494305
212,27-05-2016,18,X-Men: Apocalypse,20th Century Fox,Action,155442489,17970229
213,29-05-2015,20,San Andreas,Warner Bros.,Adventure,155190832,18409351
214,01-06-2012,15,Snow White and the Huntsman,Universal,Adventure,155136755,19489542
215,16-06-2023,17,Elemental,Walt Disney,Adventure,154426697,14325297
216,15-05-2015,21,Mad Max: Fury Road,Warner Bros.,Action,153214368,18174895
217,16-06-2017,21,Cars 3,Walt Disney,Adventure,152901115,17045832
218,24-06-2022,12,Elvis,Warner Bros.,Drama,151040048,14343784
219,21-03-2014,18,Divergent,Lionsgate,Adventure,150947895,18475874
220,07-08-2013,16,We’re the Millers,Warner Bros.,Comedy,150394119,18498661
221,04-11-2016,19,Trolls,20th Century Fox,Adventure,150130292,17356103
222,09-05-2014,19,Neighbors,Universal,Comedy,150086800,18370477
223,18-02-2022,13,Uncharted,Sony Pictures,Adventure,148648820,14116697
224,09-08-2024,11,It Ends With Us,Sony Pictures,Drama,148486482,13774256
225,14-07-2017,22,War for the Planet of the Apes,20th Century Fox,Action,146880162,16374600
226,03-06-2011,14,X-Men: First Class,20th Century Fox,Action,146408305,18462586
227,28-09-2012,16,Hotel Transylvania,Sony Pictures,Adventure,146172361,18363361
228,19-05-2023,18,Fast X,Universal,Action,146126015,13555289
229,14-02-2020,3,Sonic The Hedgehog,Paramount Pictures,Adventure,146066470,15911380
230,28-10-2011,15,Puss in Boots,Paramount Pictures,Adventure,145738327,18378099
231,10-08-2018,21,The Meg,Warner Bros.,Action,145443742,15965285
232,10-05-2013,17,The Great Gatsby,Warner Bros.,Drama,144840419,17815549
233,05-11-2010,15,MegaMind,Paramount Pictures,Adventure,144192018,18275287
234,10-05-2019,17,Pokémon: Detective Pikachu,Warner Bros.,Comedy,144105346,15732025
235,09-11-2012,17,Lincoln,Walt Disney,Drama,144089046,18101638
236,15-04-2011,16,Rio,20th Century Fox,Adventure,143619809,18110947
237,29-01-2016,20,Kung Fu Panda 3,20th Century Fox,Adventure,143528619,16592903
238,29-07-2011,17,The Smurfs,Sony Pictures,Adventure,142614158,17984130
239,21-12-2011,18,Mission: Impossible—Ghost Protocol,Paramount Pictures,Action,141186646,17804117
240,26-07-2019,18,Once Upon a Time…in Hollywo…,Sony Pictures,Thriller/Suspense,141096530,15403551
241,05-04-2019,19,Shazam!,Warner Bros.,Action,140371656,15324417
242,08-06-2018,22,Ocean’s 8,Warner Bros.,Comedy,140218711,15391736
243,05-10-2012,18,Taken 2,20th Century Fox,Thriller/Suspense,139284764,17498085
244,28-06-2024,12,A Quiet Place: Day One,Paramount Pictures,Horror,138930553,12887806
245,19-12-2018,23,Mary Poppins Returns,Walt Disney,Musical,138817262,15237899
246,16-03-2012,19,21 Jump Street,Sony Pictures,Comedy,138447667,17392922
247,20-01-2017,23,Split,Universal,Horror,138141585,15400399
248,29-03-2018,24,Ready Player One,Warner Bros.,Adventure,137690172,15114179
249,19-07-2013,18,The Conjuring,Warner Bros.,Horror,137400141,16900386
250,27-10-2023,19,Five Nights at Freddy’s,Universal,Horror,137275620,12734287
251,16-12-2011,19,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,136910219,17264845
252,21-12-2018,20,Aquaman,Warner Bros.,Action,136001983,14847378
253,08-02-2013,19,Identity Thief,Universal,Comedy,134506920,16544516
254,17-01-2014,20,Ride Along,Universal,Comedy,134202565,16426262
255,14-12-2018,25,Spider-Man: Into The Spider-Verse,Sony Pictures,Adventure,133978231,14706721
256,12-07-2013,20,Grown Ups 2,Sony Pictures,Comedy,133668525,16441392
257,15-12-2023,20,Wonka,Warner Bros.,Musical,133129902,12349713
258,26-07-2013,21,The Wolverine,20th Century Fox,Action,132556852,16304655
259,01-07-2010,16,The Last Airbender,Paramount Pictures,Adventure,131772187,16701164
260,11-04-2014,21,Rio 2,20th Century Fox,Adventure,131538435,16100175
261,17-12-2010,17,Tron: Legacy,Walt Disney,Adventure,131304844,16641932
262,21-12-2022,21,Puss in Boots: The Last Wish,Universal,Adventure,130425380,12098829
263,20-03-2015,22,The Divergent Serires: Insu…,Lionsgate,Action,130179072,15442357
264,21-06-2017,24,Transformers: The Last Knight,Paramount Pictures,Action,130168683,14511558
265,27-11-2019,21,Knives Out,Lionsgate,Drama,130119450,14205180
266,15-07-2016,21,Ghostbusters,Sony Pictures,Comedy,128350574,14838216
267,13-02-2015,23,Kingsman: The Secret Service,20th Century Fox,Action,128261724,15214914
268,06-11-2015,24,The Peanuts Movie,20th Century Fox,Adventure,128235584,15211813
269,19-02-2010,18,Shutter Island,Paramount Pictures,Thriller/Suspense,128012934,16224706
270,17-06-2016,22,Central Intelligence,Warner Bros.,Comedy,127440871,14733049
271,10-06-2011,20,Super 8,Paramount Pictures,Thriller/Suspense,127004179,16015659
272,01-07-2016,23,The Legend of Tarzan,Warner Bros.,Adventure,126643061,14640816
273,25-07-2014,22,Lucy,Universal,Action,126573960,15492528
274,08-06-2012,20,Prometheus,20th Century Fox,Thriller/Suspense,126477084,15889080
275,10-02-2012,21,Safe House,Universal,Thriller/Suspense,126181630,15851963
276,20-12-2017,26,The Greatest Showman,20th Century Fox,Musical,125303456,13754496
277,10-02-2012,22,The Vow,Sony Pictures,Drama,125014030,15705280
278,09-09-2016,24,Sully,Warner Bros.,Drama,124976335,14448131
279,06-06-2014,23,The Fault in Our Stars,20th Century Fox,Drama,124872350,15284253
280,10-01-2014,24,Lone Survivor,Universal,Action,124768916,15271593
281,13-12-2019,4,Jumanji: The Next Level,Sony Pictures,Adventure,124736710,13587876
282,20-12-2019,5,Star Wars: The Rise of Skywalker,Walt Disney,Adventure,124496308,13561689
283,04-03-2011,21,Rango,Paramount Pictures,Western,123477607,15570947
284,22-07-2022,14,Nope,Universal,Horror,123277080,11707225
285,27-03-2013,22,G.I. Joe: Retaliation,Paramount Pictures,Action,122523060,15070487
286,19-11-2021,9,Ghostbusters: Afterlife,Sony Pictures,Comedy,122378960,12033329
287,13-08-2021,10,Free Guy,20th Century Studios,Action,121626598,11959351
288,17-11-2017,25,Wonder,Lionsgate,Drama,121559294,13551761
289,20-07-2018,27,Mamma Mia: Here We Go Again!,Universal,Musical,120634935,13242034
290,06-08-2010,19,The Other Guys,Sony Pictures,Comedy,119219978,15110263
291,02-08-2023,22,Teenage Mutant Ninja Turtle…,Paramount Pictures,Adventure,118700272,11011157
292,23-07-2010,20,Salt,Sony Pictures,Thriller/Suspense,118311368,14995104
293,17-06-2022,15,Lightyear,Walt Disney,Adventure,118307188,11235250
294,31-05-2013,23,Now You See Me,Lionsgate,Thriller/Suspense,117723989,14480195
295,27-09-2013,24,Cloudy with a Chance of Mea…,Sony Pictures,Adventure,117614237,14466695
296,08-07-2011,22,Horrible Bosses,Warner Bros.,Comedy,117538559,14822012
297,07-09-2018,28,The Nun,Warner Bros.,Horror,117450119,12892439
298,15-10-2010,21,Jackass 3D,Paramount Pictures,Comedy,117109417,14842765
299,30-07-2021,11,Jungle Cruise,Walt Disney,Adventure,116987516,11503197
300,09-12-2016,26,La La Land,Lionsgate,Musical,116833190,13024881
301,17-06-2011,23,Green Lantern,Warner Bros.,Action,116601172,14703805
302,16-08-2013,25,Lee Daniels' The Butler,Weinstein Co.,Drama,116293662,14304263
303,26-11-2010,24,The King’s Speech,Weinstein Co.,Drama,115865048,14610977
304,09-02-2018,29,Peter Rabbit,Sony Pictures,Adventure,115234093,12649186
305,21-07-2017,27,Girls Trip,Universal,Comedy,115108515,12832610
306,25-11-2015,25,The Good Dinosaur,Walt Disney,Adventure,114766932,13614108
307,29-03-2019,22,Dumbo,Walt Disney,Adventure,114766307,12529073
308,10-02-2017,28,Fifty Shades Darker,Universal,Drama,114434010,12757414
309,29-06-2012,23,Magic Mike,Warner Bros.,Comedy,113721571,14286629
310,22-03-2024,13,Ghostbusters: Frozen Empire,Sony Pictures,Comedy,113376590,10517308
311,18-10-2019,23,Maleficent: Mistress of Evil,Walt Disney,Adventure,113294737,12368421
312,29-07-2016,25,Bad Moms,STX Entertainment,Comedy,113257297,13093329
313,10-08-2012,24,The Bourne Legacy,Universal,Thriller/Suspense,113203870,14221591
314,27-09-2024,14,The Wild Robot,Universal,Adventure,112904285,10473495
315,21-11-2018,30,Creed II,MGM,Drama,112448520,12343416
316,23-05-2013,26,The Hangover 3,Warner Bros.,Comedy,112200072,13800746
317,07-03-2014,25,Mr. Peabody & Sherman,20th Century Fox,Adventure,111506430,13648277
318,17-05-2024,15,IF,Paramount Pictures,Comedy,111149917,10310752
319,18-01-2019,24,Glass,Universal,Thriller/Suspense,111048468,12123195
320,05-06-2015,26,Spy!,20th Century Fox,Comedy,110825712,13146585
321,31-05-2019,25,Godzilla: King of the Monsters,Warner Bros.,Action,110500138,12063334
322,12-02-2010,22,Valentine's Day,Warner Bros.,Romantic Comedy,110485654,14003251
323,17-07-2015,27,Trainwreck,Universal,Romantic Comedy,110212700,13073867
324,12-10-2012,25,Argo,Warner Bros.,Thriller/Suspense,110106919,13832527
325,15-11-2019,26,Ford v. Ferrari,20th Century Fox,Drama,109976339,12006150
